DATE,STARS
2019-06-07,4
2019-06-08,1
2019-06-09,6
2019-06-10,5
2019-06-11,4
2019-06-12,5
2019-06-13,1
2019-06-14,2
2019-06-15,5
2019-06-16,2
2019-06-17,1
2019-06-18,7
2019-06-19,2
2019-06-20,1
2019-06-21,2
2019-06-22,3
2019-06-23,6
2019-06-24,2
2019-06-25,2
2019-06-26,6
2019-06-27,3
2019-06-28,3
2019-06-29,5
2019-06-30,2
2019-07-01,3
2019-07-02,2
2019-07-03,5
2019-07-04,4
2019-07-05,1
2019-07-06,2
2019-07-07,5
2019-07-08,3
2019-07-09,4
2019-07-10,3
2019-07-11,3
2019-07-12,6
2019-07-13,3
2019-07-14,1
2019-07-15,3
2019-07-16,4
2019-07-17,3
2019-07-18,5
2019-07-19,1
2019-07-20,2
2019-07-21,4
2019-07-22,6
2019-07-23,8
2019-07-24,2
2019-07-25,4
2019-07-26,4
2019-07-27,5
2019-07-28,6
2019-07-29,3
2019-07-30,5
2019-07-31,3
2019-08-01,6
2019-08-02,5
2019-08-03,4
2019-08-05,5
2019-08-06,6
2019-08-07,6
2019-08-08,5
2019-08-09,1
2019-08-10,1
2019-08-11,3
2019-08-13,4
2019-08-14,1
2019-08-15,3
2019-08-17,1
2019-08-18,3
2019-08-19,5
2019-08-20,2
2019-08-21,4
2019-08-22,5
2019-08-23,5
2019-08-24,3
2019-08-25,4
2019-08-26,4
2019-08-27,3
2019-08-28,8
2019-08-29,5
2019-08-30,3
2019-08-31,3
2019-09-01,5
2019-09-02,1
2019-09-03,6
2019-09-04,2
2019-09-05,4
2019-09-06,4
2019-09-07,5
2019-09-09,3
2019-09-10,3
2019-09-11,6
2019-09-12,5
2019-09-13,5
2019-09-14,3
2019-09-16,7
2019-09-17,4
2019-09-18,1
2019-09-19,4
2019-09-20,4
2019-09-21,2
2019-09-22,5
2019-09-23,5
2019-09-24,4
2019-09-25,4
2019-09-26,3
2019-09-28,3
2019-09-29,4
2019-09-30,3
2019-10-01,3
2019-10-02,4
2019-10-03,3
2019-10-04,5
2019-10-05,3
2019-10-06,4
2019-10-07,1
2019-10-08,6
2019-10-09,5
2019-10-10,5
2019-10-11,3
2019-10-12,3
2019-10-13,3
2019-10-14,4
2019-10-15,4
2019-10-16,5
2019-10-17,7
2019-10-18,5
2019-10-19,5
2019-10-20,5
2019-10-22,4
2019-10-23,6
2019-10-24,2
2019-10-25,2
2019-10-26,5
2019-10-27,3
2019-10-28,1
2019-10-29,3
2019-10-30,4
2019-10-31,6
2019-11-01,2
2019-11-02,3
2019-11-04,7
2019-11-05,4
2019-11-06,7
2019-11-07,3
2019-11-08,5
2019-11-09,4
2019-11-11,5
2019-11-13,1
2019-11-14,1
2019-11-15,3
2019-11-16,4
2019-11-17,3
2019-11-18,4
2019-11-19,3
2019-11-20,2
2019-11-21,4
2019-11-22,4
2019-11-23,4
2019-11-24,4
2019-11-26,2
2019-11-27,7
2019-11-29,4
2019-11-30,6
2019-12-01,7
2019-12-03,7
2019-12-04,3
2019-12-05,2
2019-12-06,2
2019-12-07,4
2019-12-08,6
2019-12-09,5
2019-12-10,3
2019-12-11,1
2019-12-12,1
2019-12-13,3
2019-12-14,4
2019-12-15,2
2019-12-16,3
2019-12-17,2
2019-12-18,3
2019-12-19,4
2019-12-20,7
2019-12-21,5
2019-12-22,6
2019-12-23,4
2019-12-24,1
2019-12-25,4
2019-12-26,5
2019-12-27,2
2019-12-28,1
2019-12-30,2
2019-12-31,6
