DATE,STARS
2019-07-06,4
2019-07-07,6
2019-07-10,5
2019-07-11,4
2019-07-12,5
2019-07-13,5
2019-07-14,2
2019-07-15,6
2019-07-16,2
2019-07-17,4
2019-07-18,6
2019-07-19,2
2019-07-20,1
2019-07-21,6
2019-07-22,3
2019-07-23,1
2019-07-24,4
2019-07-26,4
2019-07-27,2
2019-07-28,2
2019-07-29,5
2019-07-30,1
2019-07-31,2
2019-08-01,3
2019-08-02,5
2019-08-03,4
2019-08-04,1
2019-08-05,1
2019-08-06,5
2019-08-07,5
2019-08-08,2
2019-08-09,4
2019-08-10,3
2019-08-11,7
2019-08-12,3
2019-08-13,5
2019-08-14,5
2019-08-15,3
2019-08-16,4
2019-08-17,1
2019-08-19,4
2019-08-20,3
2019-08-21,3
2019-08-23,5
2019-08-24,1
2019-08-25,4
2019-08-26,5
2019-08-28,2
2019-08-29,4
2019-08-30,5
2019-08-31,2
2019-09-01,5
2019-09-02,1
2019-09-03,4
2019-09-04,3
2019-09-05,5
2019-09-06,1
2019-09-07,4
2019-09-08,2
2019-09-09,4
2019-09-10,7
2019-09-12,5
2019-09-13,1
2019-09-14,3
2019-09-15,5
2019-09-16,4
2019-09-17,7
2019-09-18,6
2019-09-19,1
2019-09-20,4
2019-09-21,3
2019-09-22,5
2019-09-23,1
2019-09-24,7
2019-09-25,5
2019-09-27,5
2019-09-28,5
2019-09-30,8
2019-10-01,1
2019-10-02,4
2019-10-03,2
2019-10-04,4
2019-10-05,5
2019-10-06,2
2019-10-07,2
2019-10-09,2
2019-10-10,3
2019-10-11,5
2019-10-12,6
2019-10-13,2
2019-10-14,1
2019-10-15,2
2019-10-16,5
2019-10-17,4
2019-10-18,5
2019-10-19,2
2019-10-20,1
2019-10-22,4
2019-10-23,4
2019-10-24,5
2019-10-25,4
2019-10-26,3
2019-10-27,4
2019-10-28,2
2019-10-29,4
2019-10-30,5
2019-10-31,4
2019-11-01,5
2019-11-02,3
2019-11-03,3
2019-11-04,7
2019-11-05,5
2019-11-06,5
2019-11-07,3
2019-11-08,5
2019-11-09,5
2019-11-10,5
2019-11-11,8
2019-11-12,7
2019-11-13,2
2019-11-14,2
2019-11-15,1
2019-11-16,6
2019-11-17,2
2019-11-18,5
2019-11-19,1
2019-11-20,2
2019-11-21,3
2019-11-22,4
2019-11-23,3
2019-11-24,10
2019-11-25,5
2019-11-26,5
2019-11-27,3
2019-11-28,3
2019-11-29,3
2019-11-30,4
2019-12-01,6
2019-12-02,5
2019-12-03,5
2019-12-04,1
2019-12-05,2
2019-12-06,2
2019-12-07,6
2019-12-08,4
2019-12-09,4
2019-12-10,2
2019-12-11,2
2019-12-12,3
2019-12-13,5
2019-12-14,2
2019-12-15,3
2019-12-16,2
2019-12-17,4
2019-12-18,3
2019-12-19,3
2019-12-20,2
2019-12-21,3
2019-12-22,2
2019-12-23,4
2019-12-24,2
2019-12-25,4
2019-12-26,4
2019-12-27,2
2019-12-28,5
2019-12-29,9
2019-12-30,7
2019-12-31,3
